dimension,model_family,n_pipeline_variants,best_MAE,mean_MAE,best_RMSE,mean_RMSE,best_R2,mean_R2,best_Pearson_r,best_Spearman_rho
d1_illness_beliefs,HistGradBoost,9,0.5271,0.5607666666666666,0.6725,0.7066666666666667,0.2796,0.2041222222222222,0.5413,0.4723
d1_illness_beliefs,SVR_RBF,9,0.5337,0.5637222222222222,0.6853,0.7119222222222222,0.2518,0.19146666666666667,0.5022,0.4496
d1_illness_beliefs,RandomForest,9,0.5365,0.5498888888888889,0.669,0.6895222222222223,0.287,0.24216666666666667,0.5551,0.4711
d1_illness_beliefs,BayesianRidge,9,0.5437,0.5756666666666667,0.6977,0.7330111111111112,0.2245,0.14333333333333334,0.4794,0.4253
d1_illness_beliefs,GradientBoosting,9,0.5461,0.5667222222222222,0.675,0.714,0.2742,0.18716666666666668,0.5307,0.4626
d1_illness_beliefs,Ridge,9,0.5505,0.5851222222222222,0.6966,0.7443333333333333,0.227,0.11645555555555556,0.477,0.4118
d1_illness_beliefs,Lasso,9,0.5769,0.5930333333333333,0.7288,0.7532444444444444,0.1539,0.09582222222222223,0.3928,0.359
d1_illness_beliefs,ElasticNet,9,0.5774,0.5862,0.726,0.7460888888888888,0.1603,0.11299999999999999,0.4011,0.3507
d1_illness_beliefs,SVR_Linear,9,0.5825,0.6134777777777778,0.7465,0.7832444444444444,0.1122,0.02091111111111111,0.4235,0.3722
d1_illness_beliefs,DecisionTree,9,0.6087,0.6240555555555556,0.7506,0.7931222222222222,0.1024,-0.003311111111111112,0.402,0.3677
d1_illness_beliefs,KNN,9,0.6089,0.6325444444444445,0.7702,0.799188888888889,0.055,-0.018022222222222224,0.3474,0.3089
d1_illness_beliefs,Baseline,9,0.6212,0.6251,0.7926,0.7974111111111112,-0.0007,-0.012933333333333333,-0.034,-0.0181
d2_lack_of_knowledge,GradientBoosting,9,0.6505,0.6914222222222223,0.7987,0.8357444444444444,0.2795,0.20982222222222224,0.5308,0.4927
d2_lack_of_knowledge,SVR_RBF,9,0.6672,0.7015333333333333,0.8009,0.8488888888888888,0.2757,0.18544444444444444,0.5273,0.5176
d2_lack_of_knowledge,HistGradBoost,9,0.6723,0.6944555555555555,0.8101,0.8416888888888888,0.2589,0.19927777777777778,0.5194,0.4878
d2_lack_of_knowledge,RandomForest,9,0.6836,0.7027888888888889,0.8106,0.8296888888888889,0.2579,0.22245555555555555,0.5184,0.4909
d2_lack_of_knowledge,ElasticNet,9,0.7146,0.7387666666666667,0.8727,0.9117111111111112,0.1399,0.060777777777777785,0.3814,0.4004
d2_lack_of_knowledge,BayesianRidge,9,0.7226,0.7484222222222222,0.887,0.9173444444444444,0.1115,0.049244444444444445,0.3499,0.3848
d2_lack_of_knowledge,SVR_Linear,9,0.7259,0.7610888888888889,0.8915,0.9646666666666667,0.1025,-0.056944444444444436,0.357,0.402
