dimension,model_family,n_pipeline_variants,best_RMSE,mean_RMSE,best_MAE,mean_MAE,best_R2,mean_R2,best_Pearson_r,best_Spearman_rho
d1_illness_beliefs,RandomForest,9,0.6707,0.6870777777777778,0.5384,0.5484666666666667,0.2834,0.24756666666666666,0.5512,0.4674
d1_illness_beliefs,HistGradBoost,9,0.6725,0.7060888888888889,0.5271,0.5598777777777778,0.2796,0.20544444444444443,0.5413,0.4723
d1_illness_beliefs,GradientBoosting,9,0.6786,0.7106111111111111,0.5394,0.5656666666666667,0.2664,0.1952111111111111,0.5213,0.471
d1_illness_beliefs,SVR_RBF,9,0.6853,0.7132999999999999,0.5422,0.5652,0.2518,0.18854444444444446,0.5022,0.4312
d1_illness_beliefs,Ridge,9,0.6966,0.7444444444444445,0.5505,0.5845666666666667,0.227,0.11616666666666668,0.477,0.4118
d1_illness_beliefs,BayesianRidge,9,0.6977,0.7323,0.5437,0.5751111111111111,0.2245,0.145,0.4794,0.4253
d1_illness_beliefs,ElasticNet,9,0.7348,0.7511666666666668,0.5785,0.5903111111111111,0.1398,0.10101111111111111,0.3746,0.3509
d1_illness_beliefs,Lasso,9,0.7394,0.7570333333333333,0.5817,0.5961000000000001,0.1292,0.08671111111111111,0.3623,0.3365
d1_illness_beliefs,KNN,9,0.7421,0.7898666666666667,0.5902,0.6247888888888888,0.1226,0.005366666666666666,0.4133,0.3869
d1_illness_beliefs,SVR_Linear,9,0.7491,0.7824888888888889,0.5885,0.6106111111111111,0.1061,0.023033333333333333,0.4235,0.3753
d1_illness_beliefs,DecisionTree,9,0.7497,0.7913666666666667,0.6016,0.6218333333333333,0.1046,0.0013333333333333346,0.4029,0.351
d1_illness_beliefs,Baseline,9,0.7926,0.7974111111111112,0.6212,0.6251,-0.0007,-0.012933333333333333,-0.034,-0.0181
d2_lack_of_knowledge,GradientBoosting,9,0.7812,0.8306666666666667,0.6583,0.6905555555555556,0.3109,0.22003333333333333,0.5629,0.5289
d2_lack_of_knowledge,SVR_RBF,9,0.7932,0.8439111111111112,0.6566,0.7015222222222222,0.2895,0.19474444444444444,0.5398,0.5275
d2_lack_of_knowledge,RandomForest,9,0.8007,0.8231333333333333,0.6768,0.6981111111111111,0.276,0.23464444444444446,0.5398,0.5133
d2_lack_of_knowledge,HistGradBoost,9,0.8101,0.8398444444444445,0.6704,0.6934777777777777,0.2589,0.20292222222222223,0.5194,0.4878
d2_lack_of_knowledge,ElasticNet,9,0.8746,0.9192,0.7172,0.7541,0.1361,0.044988888888888884,0.3709,0.3867
d2_lack_of_knowledge,BayesianRidge,9,0.8826,0.9222555555555556,0.7302,0.7548555555555556,0.1203,0.03896666666666667,0.3802,0.3593
d2_lack_of_knowledge,Ridge,9,0.8869,0.9263888888888889,0.735,0.7558888888888888,0.1117,0.029311111111111107,0.3394,0.3387
d2_lack_of_knowledge,KNN,9,0.8875,0.9239111111111112,0.7413,0.7649777777777778,0.1105,0.035422222222222216,0.3973,0.3895
d2_lack_of_knowledge,Lasso,9,0.8951,0.9234777777777777,0.7507,0.7706888888888889,0.0952,0.03632222222222223,0.3091,0.3116
d2_lack_of_knowledge,SVR_Linear,9,0.899,0.9592555555555555,0.7356,0.7595777777777778,0.0873,-0.04557777777777777,0.357,0.402
d2_lack_of_knowledge,DecisionTree,9,0.9006,0.965211111111111,0.7435,0.7911222222222222,0.0841,-0.05285555555555556,0.3857,0.3514
d2_lack_of_knowledge,Baseline,9,0.9421,0.9456555555555555,0.8009,0.8036666666666666,-0.0024,-0.009866666666666666,-0.0648,-0.0579
d3_cultural_factors,SVR_RBF,9,0.9494,0.9938444444444444,0.7663,0.8176888888888888,0.2387,0.16484444444444446,0.4904,0.4746
d3_cultural_factors,RandomForest,9,1.0028,1.022788888888889,0.8237,0.8532222222222222,0.1508,0.11642222222222223,0.3951,0.3709
d3_cultural_factors,BayesianRidge,9,1.0148,1.0442888888888888,0.8263,0.8535888888888888,0.1302,0.07827777777777778,0.3644,0.3736
d3_cultural_factors,SVR_Linear,9,1.0156,1.0929444444444445,0.8252,0.8789555555555555,0.1288,-0.01374444444444444,0.3713,0.3556
