dimension,model_family,n_pipeline_variants,best_MAE,mean_MAE,best_RMSE,mean_RMSE,best_R2,mean_R2,best_Pearson_r,best_Spearman_rho
d1_illness_beliefs,SVR_RBF,9,0.502,0.5416888888888889,0.631,0.6867444444444444,0.3657,0.24559999999999998,0.605,0.5547
d1_illness_beliefs,HistGradBoost,9,0.5354,0.5636,0.6672,0.7114111111111111,0.2908,0.19241111111111112,0.5424,0.4892
d1_illness_beliefs,Ridge,9,0.5407,0.5717333333333333,0.686,0.7337555555555555,0.2504,0.1409888888888889,0.5019,0.4695
d1_illness_beliefs,BayesianRidge,9,0.5435,0.5812666666666666,0.7033,0.7493666666666666,0.2119,0.10347777777777778,0.4635,0.4234
d1_illness_beliefs,GradientBoosting,9,0.5435,0.5644333333333333,0.6762,0.7117777777777778,0.2715,0.19245555555555555,0.5239,0.476
d1_illness_beliefs,RandomForest,9,0.5544,0.5679333333333333,0.6956,0.7118777777777778,0.2292,0.19247777777777778,0.4889,0.4362
d1_illness_beliefs,ElasticNet,9,0.5604,0.5774666666666667,0.7093,0.7368444444444444,0.1985,0.13454444444444447,0.4494,0.4155
d1_illness_beliefs,SVR_Linear,9,0.5614,0.6066888888888889,0.7301,0.7834666666666666,0.1508,0.020922222222222217,0.4587,0.4214
d1_illness_beliefs,Lasso,9,0.5737,0.6027666666666667,0.7291,0.7667111111111111,0.1532,0.06316666666666666,0.3923,0.3784
d1_illness_beliefs,KNN,9,0.6019,0.6216111111111111,0.7551,0.7836222222222222,0.0916,0.02113333333333333,0.4113,0.385
d1_illness_beliefs,Baseline,9,0.6212,0.6251,0.7926,0.7974111111111112,-0.0007,-0.012933333333333333,-0.034,-0.0181
d1_illness_beliefs,DecisionTree,9,0.6221,0.6592111111111111,0.7978,0.8409333333333334,-0.0141,-0.12819999999999998,0.3173,0.2576
d2_lack_of_knowledge,HistGradBoost,9,0.6521,0.6844777777777779,0.8029,0.8427111111111112,0.2721,0.19655555555555554,0.5281,0.5259
d2_lack_of_knowledge,SVR_RBF,9,0.6524,0.6782555555555556,0.8137,0.8337111111111111,0.2522,0.21457777777777778,0.5123,0.5116
d2_lack_of_knowledge,GradientBoosting,9,0.6595,0.6996444444444445,0.8101,0.8583000000000001,0.2588,0.1673888888888889,0.5104,0.5102
d2_lack_of_knowledge,RandomForest,9,0.6845,0.7012,0.8163,0.8378888888888888,0.2476,0.20696666666666666,0.5266,0.5133
d2_lack_of_knowledge,BayesianRidge,9,0.7045,0.7227555555555555,0.8787,0.9134111111111112,0.1281,0.05692222222222222,0.3762,0.4013
d2_lack_of_knowledge,Ridge,9,0.7048,0.7399777777777777,0.8578,0.9274666666666668,0.169,0.026488888888888888,0.4134,0.4217
d2_lack_of_knowledge,ElasticNet,9,0.7165,0.7432888888888889,0.8788,0.9224111111111112,0.1279,0.0382,0.3652,0.3762
d2_lack_of_knowledge,SVR_Linear,9,0.7168,0.7636888888888889,0.8698,0.9650555555555554,0.1455,-0.05815555555555555,0.383,0.406
d2_lack_of_knowledge,Lasso,9,0.7377,0.7643555555555556,0.8921,0.9312333333333334,0.1012,0.020233333333333332,0.3365,0.3274
d2_lack_of_knowledge,KNN,9,0.7593,0.7879999999999999,0.9311,0.9542222222222221,0.021,-0.028511111111111112,0.3496,0.3592
d2_lack_of_knowledge,DecisionTree,9,0.7766,0.8222888888888888,0.9544,1.0104444444444445,-0.0286,-0.15432222222222222,0.27,0.288
d2_lack_of_knowledge,Baseline,9,0.8009,0.8036666666666666,0.9421,0.9456555555555555,-0.0024,-0.009866666666666666,-0.0648,-0.0579
d3_cultural_factors,SVR_RBF,9,0.7544,0.8064111111111111,0.9213,0.9764777777777778,0.2832,0.19357777777777777,0.5328,0.5429
d3_cultural_factors,BayesianRidge,9,0.768,0.8181222222222222,0.9409,1.0032,0.2523,0.14776666666666666,0.5035,0.5314
d3_cultural_factors,ElasticNet,9,0.7803,0.8250222222222222,0.9575,0.9941111111111111,0.2256,0.16493333333333332,0.4756,0.5006
d3_cultural_factors,GradientBoosting,9,0.7822,0.8166444444444445,0.9492,0.9943000000000001,0.239,0.1643777777777778,0.4921,0.4987
d3_cultural_factors,RandomForest,9,0.7856,0.8090777777777778,0.9611,0.9822222222222222,0.2199,0.18493333333333334,0.4793,0.4806
d3_cultural_factors,Ridge,9,0.794,0.8243333333333333,0.9733,0.9996111111111112,0.1999,0.15504444444444443,0.4608,0.4896
d3_cultural_factors,HistGradBoost,9,0.7963,0.8463444444444445,0.9942,1.0464777777777778,0.1652,0.07338888888888889,0.4409,0.4487
d3_cultural_factors,SVR_Linear,9,0.8168,0.8836777777777778,0.9851,1.081322222222222,0.1805,0.002966666666666673,0.426,0.4536
d3_cultural_factors,Lasso,9,0.8189,0.8393888888888889,0.9885,1.0041333333333333,0.1747,0.14826666666666666,0.4244,0.4671
d3_cultural_factors,KNN,9,0.8304,0.8845666666666667,0.9896,1.0665555555555555,0.1729,0.03835555555555556,0.4451,0.4547
d3_cultural_factors,DecisionTree,9,0.8697,0.913088888888889,1.0748,1.1277777777777778,0.0243,-0.07528888888888889,0.331,0.3268
d3_cultural_factors,Baseline,9,0.9359,0.9379222222222222,1.0891,1.0916666666666666,-0.0018,-0.006533333333333333,-0.056,-0.0504
d4_family_system,RandomForest,9,0.4824,0.5121222222222221,0.6152,0.6502888888888889,0.341,0.2623777777777778,0.5848,0.5597
d4_family_system,GradientBoosting,9,0.4972,0.5375111111111112,0.6246,0.679811111111111,0.3207,0.19325555555555554,0.5672,0.5187
d4_family_system,SVR_RBF,9,0.5138,0.5439222222222222,0.6652,0.6969666666666667,0.2295,0.15323333333333333,0.5045,0.4778
d4_family_system,HistGradBoost,9,0.5143,0.5522,0.6575,0.7122,0.2472,0.11488888888888889,0.5114,0.4879
d4_family_system,Ridge,9,0.5272,0.5776777777777777,0.6677,0.8019777777777778,0.2236,-0.2669111111111111,0.4811,0.4488
d4_family_system,BayesianRidge,9,0.5478,0.5821000000000001,0.6744,0.7475999999999999,0.208,0.010944444444444448,0.4587,0.4374
d4_family_system,ElasticNet,9,0.5492,0.5708444444444445,0.6903,0.7154111111111111,0.1703,0.10812222222222222,0.4129,0.3681
d4_family_system,Lasso,9,0.5544,0.5747222222222222,0.6972,0.7232222222222222,0.1535,0.08810000000000001,0.3938,0.3172
d4_family_system,KNN,9,0.5559,0.5656444444444444,0.7223,0.7401222222222222,0.0914,0.04585555555555555,0.4217,0.3536
d4_family_system,SVR_Linear,9,0.5607,0.5923333333333333,0.7067,0.7523,0.1303,0.011222222222222224,0.3945,0.3748
d4_family_system,DecisionTree,9,0.5619,0.5895333333333332,0.7115,0.7584444444444445,0.1184,-0.0034999999999999983,0.4379,0.364
d4_family_system,Baseline,9,0.6196,0.6215333333333333,0.759,0.7616444444444445,-0.0031,-0.01018888888888889,-0.0752,-0.0867
d5_ambiguity_tolerance,GradientBoosting,9,0.5442,0.5962666666666667,0.7078,0.7677666666666667,0.2667,0.1347888888888889,0.518,0.4865
d5_ambiguity_tolerance,SVR_RBF,9,0.5641,0.6041111111111112,0.7287,0.7693333333333334,0.2228,0.13241111111111112,0.473,0.4622
d5_ambiguity_tolerance,RandomForest,9,0.5676,0.5963777777777778,0.7246,0.7515333333333333,0.2313,0.1727,0.4857,0.46
d5_ambiguity_tolerance,HistGradBoost,9,0.5751,0.6144888888888889,0.7334,0.7806222222222222,0.2127,0.10566666666666667,0.4843,0.457
d5_ambiguity_tolerance,BayesianRidge,9,0.5872,0.6208555555555555,0.7424,0.7828666666666666,0.1932,0.1007,0.4398,0.4192
d5_ambiguity_tolerance,Ridge,9,0.5914,0.6145111111111111,0.7382,0.7694333333333333,0.2023,0.1327,0.4507,0.4159
d5_ambiguity_tolerance,ElasticNet,9,0.6049,0.6332555555555556,0.7602,0.7840888888888888,0.1541,0.09971111111111111,0.3955,0.409
d5_ambiguity_tolerance,SVR_Linear,9,0.6064,0.6687666666666667,0.7672,0.8953555555555555,0.1384,-0.2389888888888889,0.4169,0.3542
d5_ambiguity_tolerance,KNN,9,0.6142,0.6394333333333333,0.7881,0.8145777777777777,0.0909,0.02838888888888889,0.3572,0.335
d5_ambiguity_tolerance,Lasso,9,0.6144,0.6400999999999999,0.78,0.7952,0.1095,0.07418888888888889,0.3601,0.3347
d5_ambiguity_tolerance,DecisionTree,9,0.6538,0.6945,0.841,0.8965333333333333,-0.0354,-0.17885555555555557,0.3326,0.1878
d5_ambiguity_tolerance,Baseline,9,0.6817,0.6835888888888889,0.8294,0.8323777777777779,-0.0071,-0.014288888888888887,-0.113,-0.0942
