dimension,model_family,n_pipeline_variants,best_RMSE,mean_RMSE,best_MAE,mean_MAE,best_R2,mean_R2,best_Pearson_r,best_Spearman_rho
d1_illness_beliefs,SVR_RBF,9,0.6302,0.6861,0.497,0.5412222222222223,0.3673,0.24695555555555554,0.6072,0.56
d1_illness_beliefs,HistGradBoost,9,0.6672,0.7121777777777778,0.5354,0.5639555555555555,0.2908,0.1908,0.5424,0.4877
d1_illness_beliefs,Ridge,9,0.686,0.7303888888888889,0.5407,0.5697777777777778,0.2504,0.14883333333333335,0.5019,0.4695
d1_illness_beliefs,GradientBoosting,9,0.6876,0.7187333333333333,0.5492,0.5684333333333333,0.2469,0.17665555555555557,0.5015,0.4714
d1_illness_beliefs,RandomForest,9,0.6943,0.7096111111111111,0.5549,0.5657888888888889,0.232,0.19766666666666666,0.4945,0.4486
d1_illness_beliefs,BayesianRidge,9,0.7064,0.7524777777777778,0.5459,0.5831111111111111,0.2051,0.09585555555555555,0.4589,0.4289
d1_illness_beliefs,ElasticNet,9,0.7081,0.7355666666666667,0.5584,0.5773777777777779,0.2013,0.13756666666666667,0.452,0.4155
d1_illness_beliefs,Lasso,9,0.7291,0.7628444444444444,0.5737,0.5974888888888888,0.1532,0.07258888888888888,0.3923,0.3784
d1_illness_beliefs,SVR_Linear,9,0.7301,0.7850555555555556,0.5614,0.6082777777777778,0.1508,0.017055555555555556,0.4587,0.4214
d1_illness_beliefs,KNN,9,0.7547,0.7861222222222222,0.602,0.6221555555555556,0.0926,0.015133333333333332,0.4124,0.3857
d1_illness_beliefs,Baseline,9,0.7926,0.7974111111111112,0.6212,0.6251,-0.0007,-0.012933333333333333,-0.034,-0.0181
d1_illness_beliefs,DecisionTree,9,0.8054,0.8375444444444445,0.6282,0.6588333333333334,-0.0334,-0.11909999999999998,0.3173,0.2413
d2_lack_of_knowledge,SVR_RBF,9,0.7955,0.8340000000000001,0.6462,0.6842777777777778,0.2854,0.2136888888888889,0.5369,0.5393
d2_lack_of_knowledge,HistGradBoost,9,0.8007,0.8462555555555555,0.6546,0.6880111111111111,0.2761,0.18916666666666665,0.5329,0.5259
d2_lack_of_knowledge,RandomForest,9,0.8185,0.8357444444444444,0.6843,0.7000777777777778,0.2435,0.21108888888888888,0.523,0.5168
d2_lack_of_knowledge,GradientBoosting,9,0.825,0.8606555555555555,0.6701,0.7023666666666667,0.2314,0.16305555555555556,0.4822,0.4802
d2_lack_of_knowledge,Ridge,9,0.8619,0.924,0.7097,0.7410888888888889,0.1611,0.03384444444444444,0.4037,0.4095
d2_lack_of_knowledge,SVR_Linear,9,0.8765,0.9617111111111112,0.707,0.7642111111111112,0.1324,-0.05098888888888889,0.367,0.4264
d2_lack_of_knowledge,BayesianRidge,9,0.8787,0.9121111111111111,0.7029,0.7260444444444444,0.1281,0.05967777777777778,0.3762,0.4013
d2_lack_of_knowledge,ElasticNet,9,0.8978,0.928811111111111,0.7424,0.7583,0.0897,0.025266666666666666,0.3138,0.3353
d2_lack_of_knowledge,Lasso,9,0.9074,0.9255,0.753,0.7707888888888889,0.0702,0.03241111111111111,0.2826,0.32
d2_lack_of_knowledge,KNN,9,0.9111,0.9438444444444445,0.7486,0.7809555555555555,0.0625,-0.006344444444444444,0.3496,0.3592
d2_lack_of_knowledge,Baseline,9,0.9421,0.9456555555555555,0.8009,0.8036666666666666,-0.0024,-0.009866666666666666,-0.0648,-0.0579
d2_lack_of_knowledge,DecisionTree,9,0.9511,0.999711111111111,0.7695,0.8126888888888888,-0.0216,-0.1297,0.2717,0.2715
d3_cultural_factors,SVR_RBF,9,0.9168,0.9744777777777777,0.7444,0.8042333333333334,0.2901,0.19692222222222222,0.5462,0.5519
d3_cultural_factors,BayesianRidge,9,0.9409,1.0027222222222223,0.768,0.8185555555555556,0.2523,0.14904444444444442,0.5035,0.5314
d3_cultural_factors,GradientBoosting,9,0.9547,0.9927666666666666,0.7877,0.8159444444444444,0.2303,0.1672111111111111,0.485,0.4886
d3_cultural_factors,RandomForest,9,0.961,0.9845,0.7897,0.8105555555555556,0.22,0.18112222222222224,0.4795,0.4809
d3_cultural_factors,ElasticNet,9,0.9658,0.9990222222222221,0.801,0.8345111111111111,0.2122,0.15667777777777778,0.4641,0.4703
d3_cultural_factors,Ridge,9,0.9699,0.9984666666666667,0.794,0.8260555555555555,0.2055,0.15686666666666665,0.4582,0.4753
d3_cultural_factors,HistGradBoost,9,0.9756,1.0417444444444444,0.7872,0.8418111111111111,0.1961,0.08156666666666666,0.4702,0.4807
d3_cultural_factors,SVR_Linear,9,0.9801,1.0801,0.8076,0.8836555555555555,0.1887,0.004788888888888892,0.4351,0.4546
d3_cultural_factors,Lasso,9,0.9882,1.0042444444444445,0.8189,0.8401000000000001,0.1753,0.14807777777777778,0.425,0.4671
d3_cultural_factors,KNN,9,0.9955,1.0620888888888889,0.8279,0.8831,0.1631,0.04646666666666667,0.4299,0.4312
