language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d1_illness_beliefs,1,WC,int64,0,0.0,83,0.0343,False,False,False,8.0,225.0,47.24892703862661,27.927828958035906
en,d1_illness_beliefs,2,Analytic,float64,0,0.0,137,0.279,False,False,False,1.0,98.781,13.724523605150216,18.990847157943747
en,d1_illness_beliefs,3,Clout,float64,0,0.0,113,0.3433,False,False,False,1.706,99.0,81.07270386266094,26.227445339180164
en,d1_illness_beliefs,4,Authentic,float64,1,0.0043,149,0.073,False,False,False,1.0,99.0,48.93010344827586,34.335430995192354
en,d1_illness_beliefs,5,Tone,float64,20,0.0858,85,0.279,False,False,False,1.0,99.0,37.36491549295775,39.36999043199613
en,d1_illness_beliefs,6,WPS,float64,0,0.0,108,0.0343,False,False,False,6.0,139.0,20.664051502145924,13.065690270933136
en,d1_illness_beliefs,7,BigWords,float64,0,0.0,152,0.0343,False,False,False,0.0,36.364,15.556845493562232,5.6659857256497075
en,d1_illness_beliefs,8,Dic,float64,0,0.0,93,0.382,False,False,False,83.333,100.0,97.25055793991415,3.1433096188213865
en,d1_illness_beliefs,9,Linguistic,float64,0,0.0,146,0.03,False,False,False,61.538,100.0,82.1278154506438,6.719254821632835
en,d1_illness_beliefs,10,function,float64,0,0.0,139,0.0429,False,False,False,47.059,83.636,67.78238197424892,5.46065990115233
en,d1_illness_beliefs,11,pronoun,float64,0,0.0,147,0.0515,False,False,False,8.333,44.444,25.636527896995705,5.347347985163666
en,d1_illness_beliefs,12,ppron,float64,0,0.0,132,0.0343,False,False,False,0.0,30.0,15.910042918454936,4.578549587558954
en,d1_illness_beliefs,13,i,float64,0,0.0,119,0.1803,False,False,False,0.0,14.815,4.3988197424892705,3.2706906383591114
en,d1_illness_beliefs,14,we,float64,0,0.0,62,0.6609,False,False,False,0.0,10.0,1.0798841201716738,1.8676445748765236
en,d1_illness_beliefs,15,you,float64,0,0.0,134,0.1931,False,False,False,0.0,25.0,7.65680686695279,5.479133681329894
en,d1_illness_beliefs,16,shehe,float64,0,0.0,15,0.9356,False,False,False,0.0,7.692,0.2095922746781116,0.9392519268979124
en,d1_illness_beliefs,17,they,float64,0,0.0,66,0.6438,False,False,False,0.0,20.0,2.431618025751073,4.088682901179523
en,d1_illness_beliefs,18,ipron,float64,0,0.0,139,0.0386,False,False,False,0.0,25.0,9.726515021459226,4.5398833619935814
en,d1_illness_beliefs,19,det,float64,0,0.0,142,0.0343,False,False,False,0.0,31.429,13.654965665236052,5.434103996871613
en,d1_illness_beliefs,20,article,float64,0,0.0,116,0.206,False,False,False,0.0,20.0,4.479849785407724,3.4558017033219866
en,d1_illness_beliefs,21,number,float64,0,0.0,17,0.9142,False,False,False,0.0,4.255,0.1711587982832618,0.607248575488681
en,d1_illness_beliefs,22,prep,float64,0,0.0,149,0.03,False,False,False,0.0,33.333,12.369283261802574,5.069132561695105
en,d1_illness_beliefs,23,auxverb,float64,0,0.0,138,0.0343,False,False,False,0.0,33.333,12.157982832618023,4.686949730428744
en,d1_illness_beliefs,24,adverb,float64,0,0.0,144,0.0644,False,False,False,0.0,25.0,9.60384549356223,5.000323309563372
en,d1_illness_beliefs,25,conj,float64,0,0.0,131,0.103,False,False,False,0.0,22.857,7.08201287553648,4.042833679403132
en,d1_illness_beliefs,26,negate,float64,0,0.0,54,0.6738,False,False,False,0.0,11.765,0.9832703862660943,1.8037440228180954
en,d1_illness_beliefs,27,verb,float64,0,0.0,154,0.0429,False,False,False,8.571,55.556,21.996652360515018,5.915157590681028
en,d1_illness_beliefs,28,adj,float64,0,0.0,114,0.1674,False,False,False,0.0,25.0,5.4869356223175965,3.9586493223124157
en,d1_illness_beliefs,29,quantity,float64,0,0.0,94,0.4249,False,False,False,0.0,14.754,2.3135665236051506,2.7184617458913234
en,d1_illness_beliefs,30,Drives,float64,0,0.0,113,0.1803,False,False,False,0.0,17.857,5.197214592274678,3.804735024797927
en,d1_illness_beliefs,31,affiliation,float64,0,0.0,100,0.3219,False,False,False,0.0,17.857,3.299725321888412,3.3295030542139217
en,d1_illness_beliefs,32,achieve,float64,0,0.0,68,0.6094,False,False,False,0.0,12.5,1.2392575107296135,1.937723022257981
en,d1_illness_beliefs,33,power,float64,0,0.0,48,0.7296,False,False,False,0.0,11.765,0.8430171673819743,1.7715157399654653
en,d1_illness_beliefs,34,Cognition,float64,0,0.0,158,0.0515,False,False,False,10.526,63.636,29.48109871244635,8.212121325109445
en,d1_illness_beliefs,35,allnone,float64,0,0.0,53,0.6867,False,False,False,0.0,12.5,0.915549356223176,1.7463846394697464
en,d1_illness_beliefs,36,cogproc,float64,0,0.0,159,0.03,False,False,False,0.0,50.0,20.44032188841202,7.366192710988764
en,d1_illness_beliefs,37,insight,float64,0,0.0,138,0.0472,False,False,False,0.0,26.667,7.691369098712446,4.5714957694474005
en,d1_illness_beliefs,38,cause,float64,0,0.0,89,0.3691,False,False,False,0.0,11.765,2.146678111587983,2.3360874718455342
en,d1_illness_beliefs,39,discrep,float64,0,0.0,115,0.1588,False,False,False,0.0,18.75,4.56925321888412,3.237225416434684
en,d1_illness_beliefs,40,tentat,float64,0,0.0,90,0.3691,False,False,False,0.0,15.385,2.7038454935622314,3.0350208446976112
en,d1_illness_beliefs,41,certitude,float64,0,0.0,69,0.6223,False,False,False,0.0,16.667,1.3077682403433475,2.2260143633983906
en,d1_illness_beliefs,42,differ,float64,0,0.0,103,0.3219,False,False,False,0.0,18.182,3.0898798283261804,3.2641165215921752
en,d1_illness_beliefs,43,memory,float64,0,0.0,3,0.9914,False,True,False,0.0,5.882,0.03349785407725322,0.40489676339036834
en,d1_illness_beliefs,44,Affect,float64,0,0.0,129,0.0858,False,False,False,0.0,27.778,7.346188841201716,4.6233247579673185
en,d1_illness_beliefs,45,tone_pos,float64,0,0.0,105,0.3262,False,False,False,0.0,13.889,3.3736909871244634,3.264082501486941
en,d1_illness_beliefs,46,tone_neg,float64,0,0.0,107,0.279,False,False,False,0.0,25.0,3.920733905579399,4.169206437299501
en,d1_illness_beliefs,47,emotion,float64,0,0.0,105,0.3519,False,False,False,0.0,17.647,3.1962703862660944,3.5734660477860416
en,d1_illness_beliefs,48,emo_pos,float64,0,0.0,41,0.7811,False,False,False,0.0,12.5,0.7757854077253219,1.7843092806248806
en,d1_illness_beliefs,49,emo_neg,float64,0,0.0,89,0.4936,False,False,False,0.0,15.385,2.1728025751072964,3.088077435126614
en,d1_illness_beliefs,50,emo_anx,float64,0,0.0,40,0.7897,False,False,False,0.0,15.385,0.8202489270386266,2.1042455765401837
en,d1_illness_beliefs,51,emo_anger,float64,0,0.0,18,0.927,False,False,False,0.0,5.714,0.14886266094420603,0.6273777927610966
en,d1_illness_beliefs,52,emo_sad,float64,0,0.0,27,0.8841,False,False,False,0.0,13.333,0.6052618025751073,1.9856020964620082
en,d1_illness_beliefs,53,swear,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,54,Social,float64,0,0.0,155,0.0343,False,False,False,0.0,37.5,17.37193991416309,6.186595080870413
en,d1_illness_beliefs,55,socbehav,float64,0,0.0,105,0.2275,False,False,False,0.0,22.222,4.123021459227468,3.5892234997885084
en,d1_illness_beliefs,56,prosocial,float64,0,0.0,67,0.6094,False,False,False,0.0,16.129,1.4028025751072961,2.3715997682693866
en,d1_illness_beliefs,57,polite,float64,0,0.0,16,0.9356,False,False,False,0.0,11.111,0.18273390557939914,0.9186409693741608
en,d1_illness_beliefs,58,conflict,float64,0,0.0,10,0.9614,False,True,False,0.0,3.03,0.06847210300429185,0.37142703644112607
en,d1_illness_beliefs,59,moral,float64,0,0.0,11,0.9528,False,True,False,0.0,3.846,0.10469527896995708,0.5339684438112767
en,d1_illness_beliefs,60,comm,float64,0,0.0,76,0.4506,False,False,False,0.0,11.111,1.9197467811158797,2.309638828366974
en,d1_illness_beliefs,61,socrefs,float64,0,0.0,133,0.0343,False,False,False,0.0,37.5,12.835914163090129,4.656478910727347
en,d1_illness_beliefs,62,family,float64,0,0.0,44,0.7682,False,False,False,0.0,12.5,0.7634291845493562,1.7172294811319566
en,d1_illness_beliefs,63,friend,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,64,female,float64,0,0.0,14,0.9356,False,False,False,0.0,7.692,0.20491416309012875,0.92821850198531
en,d1_illness_beliefs,65,male,float64,0,0.0,5,0.9828,False,True,False,0.0,2.941,0.03227467811158798,0.2577284258053565
en,d1_illness_beliefs,66,Culture,float64,0,0.0,5,0.9828,False,True,False,0.0,1.538,0.02028755364806867,0.1640092739953737
en,d1_illness_beliefs,67,politic,float64,0,0.0,3,0.9914,False,True,False,0.0,1.538,0.01224892703862661,0.13232570778444427
