language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d3_cultural_factors,1,WC,int64,0,0.0,92,0.039,False,False,False,6.0,194.0,50.76623376623377,29.999664970837706
en,d3_cultural_factors,2,Analytic,float64,0,0.0,143,0.1775,False,False,False,1.0,99.0,14.494398268398268,17.85530485285868
en,d3_cultural_factors,3,Clout,float64,0,0.0,112,0.3983,False,False,False,1.0,99.0,81.1708528138528,28.097487033153733
en,d3_cultural_factors,4,Authentic,float64,2,0.0087,145,0.0823,False,False,False,1.0,99.0,55.93634497816595,33.7250101040227
en,d3_cultural_factors,5,Tone,float64,74,0.3203,95,0.3203,False,False,False,1.0,99.0,43.423541401273894,34.474716599584575
en,d3_cultural_factors,6,WPS,float64,0,0.0,129,0.039,False,False,False,5.667,88.0,22.275917748917745,12.889462563666566
en,d3_cultural_factors,7,BigWords,float64,0,0.0,156,0.0346,False,False,False,0.0,40.0,18.395692640692644,6.892001651939507
en,d3_cultural_factors,8,Dic,float64,0,0.0,113,0.2251,False,False,False,81.25,100.0,95.66196536796535,3.8946855517000984
en,d3_cultural_factors,9,Linguistic,float64,0,0.0,154,0.0346,False,False,False,61.538,100.0,80.37654112554112,6.122931676105642
en,d3_cultural_factors,10,function,float64,0,0.0,140,0.0606,False,False,False,52.632,82.353,68.06280086580085,5.141825983746405
en,d3_cultural_factors,11,pronoun,float64,0,0.0,144,0.0346,False,False,False,7.692,44.444,24.170744588744586,5.7839388414330575
en,d3_cultural_factors,12,ppron,float64,0,0.0,135,0.0563,False,False,False,3.125,30.769,13.627363636363638,4.277239899064606
en,d3_cultural_factors,13,i,float64,0,0.0,83,0.4502,False,False,False,0.0,10.345,1.9540822510822509,2.2940128761221112
en,d3_cultural_factors,14,we,float64,0,0.0,37,0.8398,False,False,False,0.0,7.143,0.38465367965367964,1.0502809195522558
en,d3_cultural_factors,15,you,float64,0,0.0,122,0.1732,False,False,False,0.0,23.077,7.950281385281385,5.6307618662478625
en,d3_cultural_factors,16,shehe,float64,0,0.0,18,0.9221,False,False,False,0.0,5.714,0.1861991341991342,0.737009093330212
en,d3_cultural_factors,17,they,float64,0,0.0,84,0.5628,False,False,False,0.0,18.182,2.9038571428571425,4.137157656025143
en,d3_cultural_factors,18,ipron,float64,0,0.0,133,0.0303,False,False,False,0.0,33.333,10.543419913419912,4.797142278966219
en,d3_cultural_factors,19,det,float64,0,0.0,144,0.0519,False,False,False,2.857,27.273,15.51044155844156,4.453804338140517
en,d3_cultural_factors,20,article,float64,0,0.0,115,0.1299,False,False,False,0.0,23.077,4.934047619047621,3.3602919234444566
en,d3_cultural_factors,21,number,float64,0,0.0,26,0.8831,False,False,False,0.0,4.762,0.2098225108225108,0.6736607058612625
en,d3_cultural_factors,22,prep,float64,0,0.0,139,0.0346,False,False,False,0.0,28.571,12.802675324675324,4.51169306823433
en,d3_cultural_factors,23,auxverb,float64,0,0.0,140,0.039,False,False,False,0.0,30.556,12.547008658008659,4.580351295613586
en,d3_cultural_factors,24,adverb,float64,0,0.0,138,0.0779,False,False,False,0.0,22.222,8.539277056277056,4.8643148006094155
en,d3_cultural_factors,25,conj,float64,0,0.0,116,0.1429,False,False,False,0.0,16.667,6.468731601731602,3.8520388420539895
en,d3_cultural_factors,26,negate,float64,0,0.0,88,0.4242,False,False,False,0.0,13.333,2.081852813852814,2.5126866350717383
en,d3_cultural_factors,27,verb,float64,0,0.0,148,0.0476,False,False,False,4.762,44.444,20.839320346320346,5.811799933828168
en,d3_cultural_factors,28,adj,float64,0,0.0,117,0.1991,False,False,False,0.0,16.129,4.668606060606061,3.4799845596555983
en,d3_cultural_factors,29,quantity,float64,0,0.0,69,0.5108,False,False,False,0.0,8.824,1.6702813852813851,2.0625691247546385
en,d3_cultural_factors,30,Drives,float64,0,0.0,114,0.1905,False,False,False,0.0,18.182,4.134147186147186,3.4346325801824484
en,d3_cultural_factors,31,affiliation,float64,0,0.0,101,0.2814,False,False,False,0.0,13.636,2.9500389610389615,2.7454162594415212
