language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d3_cultural_factors,43,memory,float64,0,0.0,2,0.9957,False,True,False,0.0,0.699,0.0030259740259740257,0.04599082347768784
en,d3_cultural_factors,51,emo_anger,float64,0,0.0,4,0.987,False,True,False,0.0,2.778,0.021545454545454548,0.20881709567619294
en,d3_cultural_factors,53,swear,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,57,polite,float64,0,0.0,7,0.974,False,True,False,0.0,3.571,0.055545454545454544,0.3727326426876256
en,d3_cultural_factors,65,male,float64,0,0.0,11,0.9567,False,True,False,0.0,7.692,0.1785151515151515,0.9566586863457303
en,d3_cultural_factors,67,politic,float64,0,0.0,3,0.9913,False,True,False,0.0,2.564,0.01926839826839827,0.20902570425779404
en,d3_cultural_factors,69,tech,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,72,home,float64,0,0.0,12,0.9524,False,True,False,0.0,3.846,0.10789610389610389,0.5211016487107887
en,d3_cultural_factors,74,money,float64,0,0.0,4,0.9827,False,True,False,0.0,1.724,0.024095238095238097,0.18449460820166677
en,d3_cultural_factors,75,relig,float64,0,0.0,2,0.9957,False,True,False,0.0,2.222,0.009619047619047619,0.1461968666200607
en,d3_cultural_factors,78,illness,float64,0,0.0,2,0.9957,False,True,False,0.0,5.882,0.025463203463203462,0.3870071869753361
en,d3_cultural_factors,79,wellness,float64,0,0.0,2,0.9957,False,True,False,0.0,0.752,0.0032554112554112552,0.04947796746097462
en,d3_cultural_factors,80,mental,float64,0,0.0,3,0.9913,False,True,False,0.0,1.389,0.010216450216450216,0.11127817039507204
en,d3_cultural_factors,81,substances,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,82,sexual,float64,0,0.0,6,0.9784,False,True,False,0.0,5.0,0.052943722943722946,0.41575940088928653
en,d3_cultural_factors,83,food,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,84,death,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,88,lack,float64,0,0.0,9,0.9654,False,True,False,0.0,10.526,0.11298268398268399,0.794285245911546
en,d3_cultural_factors,89,fulfill,float64,0,0.0,12,0.9524,False,True,False,0.0,6.667,0.11471428571428573,0.6065184578819945
en,d3_cultural_factors,90,fatigue,float64,0,0.0,3,0.9913,False,True,False,0.0,1.408,0.008324675324675325,0.09850360067024364
en,d3_cultural_factors,91,reward,float64,0,0.0,2,0.9957,False,True,False,0.0,2.174,0.00941125541125541,0.14303869848425374
en,d3_cultural_factors,92,risk,float64,0,0.0,7,0.974,False,True,False,0.0,2.857,0.04387878787878788,0.2977548057952659
en,d3_cultural_factors,107,netspeak,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,109,nonflu,float64,0,0.0,2,0.9957,False,True,False,0.0,1.124,0.004865800865800866,0.07395377051347804
en,d3_cultural_factors,110,filler,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,115,Exclam,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,117,OtherP,float64,0,0.0,9,0.9654,False,True,False,0.0,3.333,0.05158008658008659,0.32635576925109006
en,d3_cultural_factors,118,Emoji,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
