language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d4_family_system,43,memory,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d4_family_system,53,swear,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d4_family_system,57,polite,float64,0,0.0,11,0.9554,False,True,False,0.0,4.762,0.09225000000000001,0.4789544947818622
en,d4_family_system,66,Culture,float64,0,0.0,7,0.9732,False,True,False,0.0,7.5,0.07737946428571428,0.6291055959668789
en,d4_family_system,67,politic,float64,0,0.0,2,0.9955,False,True,False,0.0,0.709,0.0031651785714285714,0.04737205512897722
en,d4_family_system,68,ethnicity,float64,0,0.0,6,0.9777,False,True,False,0.0,7.5,0.07104910714285714,0.6226563825030986
en,d4_family_system,69,tech,float64,0,0.0,2,0.9955,False,True,False,0.0,0.709,0.0031651785714285714,0.04737205512897722
en,d4_family_system,71,leisure,float64,0,0.0,6,0.9777,False,True,False,0.0,3.226,0.03939732142857143,0.29758622097899606
en,d4_family_system,72,home,float64,0,0.0,9,0.9598,False,True,False,0.0,9.524,0.16645089285714285,0.9513800725371139
en,d4_family_system,75,relig,float64,0,0.0,2,0.9955,False,True,False,0.0,1.739,0.007763392857142858,0.11619182492142653
en,d4_family_system,78,illness,float64,0,0.0,3,0.9911,False,True,False,0.0,2.941,0.02588392857142857,0.2733438100359061
en,d4_family_system,79,wellness,float64,0,0.0,3,0.9911,False,True,False,0.0,2.5,0.01942857142857143,0.2074330715677054
en,d4_family_system,80,mental,float64,0,0.0,2,0.9955,False,True,False,0.0,0.621,0.0027723214285714287,0.04149230780690389
en,d4_family_system,81,substances,float64,0,0.0,2,0.9955,False,True,False,0.0,1.429,0.006379464285714286,0.09547907867321359
en,d4_family_system,82,sexual,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d4_family_system,83,food,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d4_family_system,84,death,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d4_family_system,88,lack,float64,0,0.0,4,0.9866,False,True,False,0.0,2.941,0.03538392857142857,0.307309027665875
en,d4_family_system,89,fulfill,float64,0,0.0,5,0.9821,False,True,False,0.0,2.083,0.026026785714285714,0.20310674300744638
en,d4_family_system,90,fatigue,float64,0,0.0,3,0.9911,False,True,False,0.0,5.0,0.03376785714285714,0.37475657826545894
en,d4_family_system,91,reward,float64,0,0.0,6,0.9777,False,True,False,0.0,3.333,0.041924107142857145,0.30016848564595183
en,d4_family_system,107,netspeak,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d4_family_system,109,nonflu,float64,0,0.0,7,0.9732,False,True,False,0.0,7.143,0.0961875,0.6609207333766849
en,d4_family_system,110,filler,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d4_family_system,115,Exclam,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d4_family_system,118,Emoji,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
