set,column
common,AllPunc
common,Analytic
common,Apostro
common,Authentic
common,Clout
common,Comma
common,Dic
common,Emoji
common,Exclam
common,OtherP
common,Period
common,QMark
common,Tone
common,WC
common,WPS
common,adj
common,adverb
common,affiliation
common,article
common,assent
common,auxverb
common,cause
common,cogproc
common,conj
common,death
common,differ
common,discrep
common,family
common,female
common,filler
common,focusfuture
common,focuspast
common,focuspresent
common,friend
common,function
common,health
common,home
common,i
common,insight
common,ipron
common,leisure
common,male
common,money
common,motion
common,negate
common,netspeak
common,nonflu
common,number
common,power
common,ppron
common,prep
common,pronoun
common,relig
common,reward
common,risk
common,sexual
common,shehe
common,space
common,swear
common,tentat
common,they
common,time
common,verb
common,we
common,work
en_only,Affect
en_only,BigWords
en_only,Cognition
en_only,Conversation
en_only,Culture
en_only,Drives
en_only,Lifestyle
en_only,Linguistic
en_only,Perception
en_only,Physical
en_only,Social
en_only,achieve
en_only,acquire
en_only,allnone
en_only,allure
en_only,attention
en_only,auditory
en_only,certitude
en_only,comm
en_only,conflict
en_only,curiosity
en_only,det
en_only,emo_anger
en_only,emo_anx
en_only,emo_neg
en_only,emo_pos
en_only,emo_sad
en_only,emotion
en_only,ethnicity
en_only,fatigue
en_only,feeling
en_only,food
en_only,fulfill
en_only,illness
en_only,lack
en_only,memory
en_only,mental
en_only,moral
en_only,need
en_only,polite
en_only,politic
en_only,prosocial
en_only,quantity
en_only,socbehav
en_only,socrefs
en_only,substances
en_only,tech
en_only,tone_neg
en_only,tone_pos
en_only,visual
en_only,want
en_only,wellness
en_only,you
de_only,Colon
de_only,Dash
de_only,Parenth
de_only,Quote
de_only,SemiC
de_only,Sixltr
de_only,achiev
de_only,affect
de_only,anger
de_only,anx
de_only,bio
de_only,body
de_only,certain
de_only,compare
de_only,drives
de_only,feel
de_only,hear
de_only,informal
de_only,ingest
de_only,interrog
de_only,negemo
de_only,other
de_only,percept
de_only,posemo
de_only,quant
de_only,relativ
de_only,sad
de_only,see
de_only,social
de_only,you_formal
de_only,you_plur
de_only,you_sing
de_only,you_total
