dimension,feature,mean_importance,std_across_folds,n_folds
d4_family_system,QMark,0.09653289129008095,0.04115875808771803,5
d4_family_system,affiliation,0.021395132774271828,0.02921227001696463,5
d4_family_system,Clout,0.00967773073349499,0.007695601182514607,5
d4_family_system,WC,0.009449190595349303,0.006496891784351616,5
d4_family_system,socrefs,0.0069200538534392566,0.0025713286520445367,5
d4_family_system,Social,0.006705896539289094,0.01393166965425612,5
d4_family_system,family,0.006392516883717636,0.011348617149820562,5
d4_family_system,Period,0.00467373660713035,0.006281449537421384,5
d4_family_system,Drives,0.003980519964541729,0.005098099820252345,5
d4_family_system,cause,0.003945528306725013,0.005782238809481124,5
d4_family_system,home,0.003799399739224391,0.005855590546660377,5
d4_family_system,focuspresent,0.00316832569488192,0.0017524632245467762,5
d4_family_system,WPS,0.003092732380705767,0.005261652135507292,5
d4_family_system,ppron,0.002608426097298138,0.002328525170290249,5
d4_family_system,male,0.0018148244627224596,0.003546602519993027,5
d4_family_system,insight,0.0017446570664599974,0.0020673007017965412,5
d4_family_system,adj,0.0015602804114486103,0.004360661056504361,5
d4_family_system,shehe,0.0013257082513903693,0.002618685027432224,5
d4_family_system,we,0.0010603078734713837,0.0012795378744480772,5
d4_family_system,female,0.0009748121959856782,0.001355699798300551,5
d4_family_system,work,0.0006891855790668322,0.0007459187533485641,5
d4_family_system,i,0.0006293824770739091,0.001995472977325196,5
d4_family_system,time,0.00055902577977578,0.00111805155955156,5
d4_family_system,tone_neg,0.00044032508183749076,0.0008806501636749815,5
d4_family_system,Comma,0.0003643377020620372,0.0017065914235741113,5
d4_family_system,pronoun,0.0003330850941438768,0.0006727177702940133,5
d4_family_system,focuspast,0.00032792349077987414,0.000646920215594324,5
d4_family_system,function,0.0003242334712977901,0.0006484669425955803,5
d4_family_system,BigWords,0.00032030635938357685,0.0006406127187671537,5
d4_family_system,prep,0.0003188904635239413,0.0006377809270478826,5
d4_family_system,cogproc,0.00031343590425692307,0.0006268718085138461,5
d4_family_system,Apostro,0.00029781550875832415,0.0005956310175166483,5
d4_family_system,prosocial,0.00029270039239654913,0.0005854007847930983,5
d4_family_system,you,0.00027665434502051464,0.0016595262848971895,5
d4_family_system,Tone,0.0002487589597572633,0.0004975179195145266,5
d4_family_system,article,0.00023603109083008517,0.00047206218166017034,5
d4_family_system,focusfuture,0.0002286529776540284,0.00045730595530805675,5
d4_family_system,det,0.00022664974192128685,0.003909724330946384,5
d4_family_system,socbehav,0.00017611159701062936,0.00035222319402125873,5
d4_family_system,AllPunc,0.00016719915032955854,0.0003343983006591171,5
d4_family_system,polite,0.0001478764298286883,0.0002418053362219321,5
d4_family_system,auxverb,0.0001319234247420176,0.0002638468494840352,5
d4_family_system,feeling,0.00011678764130960806,0.0002335752826192161,5
d4_family_system,discrep,0.00011440462699198184,0.0002288092539839637,5
d4_family_system,Analytic,9.736681994022555e-05,0.0001947336398804511,5
d4_family_system,want,8.521369197897736e-05,0.00017042738395795472,5
d4_family_system,they,6.36498587731471e-05,0.0001272997175462942,5
d4_family_system,moral,5.889783428003318e-05,0.00011779566856006636,5
d4_family_system,allnone,4.473826946715498e-05,8.947653893430995e-05,5
d4_family_system,auditory,3.156796674225489e-05,6.313593348450977e-05,5
d4_family_system,emotion,2.8650370370367403e-05,5.7300740740734806e-05,5
d4_family_system,space,2.3356266650676655e-05,4.67125333013533e-05,5
d4_family_system,acquire,1.2343703703704783e-05,2.4687407407409565e-05,5
d4_family_system,attention,1.2333333333329753e-05,2.4666666666659506e-05,5
d4_family_system,Lifestyle,1.2057566137565848e-05,2.4115132275131693e-05,5
d4_family_system,friend,1.1257481481482904e-05,2.251496296296581e-05,5
d4_family_system,risk,1.0749384168478779e-05,2.149876833695756e-05,5
d4_family_system,emo_anger,3.5498356797791782e-06,3.7599032785897624e-05,5
d4_family_system,emo_anx,2.346296296295384e-06,4.692592592590768e-06,5
d4_family_system,Emoji,0.0,0.0,5
d4_family_system,mental,0.0,0.0,5
d4_family_system,substances,0.0,0.0,5
d4_family_system,netspeak,0.0,0.0,5
d4_family_system,Exclam,0.0,0.0,5
d4_family_system,nonflu,0.0,0.0,5
d4_family_system,filler,0.0,0.0,5
d4_family_system,leisure,0.0,0.0,5
d4_family_system,politic,0.0,0.0,5
d4_family_system,food,0.0,0.0,5
d4_family_system,fulfill,0.0,0.0,5
d4_family_system,fatigue,0.0,0.0,5
d4_family_system,reward,0.0,0.0,5
d4_family_system,lack,0.0,0.0,5
d4_family_system,relig,0.0,0.0,5
d4_family_system,memory,0.0,0.0,5
d4_family_system,power,0.0,0.0,5
d4_family_system,swear,0.0,0.0,5
d4_family_system,death,0.0,0.0,5
d4_family_system,money,0.0,0.0,5
d4_family_system,wellness,0.0,0.0,5
d4_family_system,illness,0.0,0.0,5
d4_family_system,conflict,0.0,0.0,5
d4_family_system,sexual,0.0,0.0,5
d4_family_system,tech,0.0,0.0,5
d4_family_system,ethnicity,0.0,0.0,5
d4_family_system,OtherP,-1.9703703703714363e-06,3.940740740742873e-06,5
d4_family_system,motion,-4.005457958117242e-06,0.00043488502620504305,5
d4_family_system,comm,-1.5916378739885643e-05,3.1832757479771286e-05,5
d4_family_system,emo_sad,-3.06822771636032e-05,0.0009017504942424209,5
d4_family_system,Culture,-3.4617793868153924e-05,6.923558773630785e-05,5
d4_family_system,curiosity,-3.508939698261419e-05,7.017879396522838e-05,5
d4_family_system,Linguistic,-5.016984432686093e-05,0.00010033968865372186,5
d4_family_system,ipron,-7.0122323033035e-05,0.00014024464606607,5
d4_family_system,quantity,-8.278324348661311e-05,0.0015387883180915337,5
d4_family_system,Physical,-9.688043644709173e-05,0.00019376087289418346,5
d4_family_system,verb,-0.00010234120073453997,0.00020468240146907996,5
d4_family_system,visual,-0.00010585143858857227,0.0006267610349300757,5
d4_family_system,adverb,-0.00012189616285305683,0.00024379232570611364,5
d4_family_system,Perception,-0.0001284590715537844,0.00025691814310756873,5
d4_family_system,Cognition,-0.0001367313901206546,0.00027346278024130915,5
d4_family_system,emo_neg,-0.0001372991964085335,0.00027459839281706694,5
d4_family_system,Dic,-0.00014171251425335298,0.0002834250285067059,5
d4_family_system,health,-0.0001902488454705442,0.00038049769094108845,5
d4_family_system,assent,-0.00019146921325650587,0.0007777733770088174,5
d4_family_system,differ,-0.00022245524867724463,0.00044491049735448927,5
d4_family_system,tentat,-0.0002248450913529728,0.0004496901827059456,5
d4_family_system,tone_pos,-0.0002750689351108833,0.0005090599824087418,5
d4_family_system,Authentic,-0.0003731036705454368,0.0009039984463214479,5
d4_family_system,number,-0.00038454946662534647,0.0008050424665863455,5
d4_family_system,Conversation,-0.00039377758333056007,0.0012275462773249518,5
d4_family_system,achieve,-0.0005841251487279061,0.0011801898345650326,5
d4_family_system,emo_pos,-0.0007163371840784808,0.0013979670271844105,5
d4_family_system,allure,-0.0008453748490300841,0.005656640178813332,5
d4_family_system,need,-0.0009769049067022862,0.003422638834378779,5
d4_family_system,negate,-0.0013322953962946707,0.0023338719348355427,5
d4_family_system,certitude,-0.0013597396614802456,0.0026395242169406853,5
d4_family_system,conj,-0.0018525578662197464,0.0023522066236564914,5
d4_family_system,Affect,-0.0027202685424215596,0.008319435143394949,5
